State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
AL,Crenshaw County,474.9,Overall,Overall,31.738498,-86.315231,20
KY,Floyd County,474.7,Overall,Overall,37.558794,-82.748704,20
WV,McDowell County,474.7,Overall,Overall,37.377996,-81.648786,20
OH,Vinton County,474.4,Overall,Overall,39.246591,-82.483994,20
GA,Turner County,474.4,Overall,Overall,31.714702,-83.621593,20
VA,Patrick County,474.2,Overall,Overall,36.681331,-80.279427,20
GA,Wilcox County,474.1,Overall,Overall,31.969068,-83.428103,20
OK,Greer County,474.0,Overall,Overall,34.935077,-99.558797,20
MO,McDonald County,474.0,Overall,Overall,36.624487,-94.352689,20
TN,Lawrence County,473.9,Overall,Overall,35.223185,-87.393486,20
AR,Pike County,473.5,Overall,Overall,34.167451,-93.648898,13
WV,Wyoming County,473.4,Overall,Overall,37.608512,-81.552171,20
TX,Orange County,473.0,Overall,Overall,30.127906,-93.895247,20
MS,Holmes County,472.8,Overall,Overall,33.13263,-90.084026,18
ND,Rolette County,472.1,Overall,Overall,48.772052,-99.84699,11
MS,Lawrence County,471.9,Overall,Overall,31.555561,-90.107464,20
MI,Alcona County,471.8,Overall,Overall,44.685043,-83.593714,10
MS,Union County,471.7,Overall,Overall,34.494424,-88.994223,20
TX,Sherman County,471.2,Overall,Overall,36.272059,-101.893541,8
KY,Livingston County,471.1,Overall,Overall,37.209815,-88.354218,20
OK,Cotton County,470.7,Overall,Overall,34.286843,-98.373707,17
TN,Coffee County,470.6,Overall,Overall,35.498404,-86.073011,20
TN,Fentress County,470.6,Overall,Overall,36.382014,-84.923199,17
AR,Howard County,470.4,Overall,Overall,34.092083,-93.988427,16
MI,St. Joseph County,470.3,Overall,Overall,41.918181,-85.531945,20
MS,Lincoln County,469.5,Overall,Overall,31.539095,-90.455736,20
MI,Gratiot County,469.3,Overall,Overall,43.297695,-84.606972,20
TN,Wayne County,469.2,Overall,Overall,35.250639,-87.787613,9
AL,Escambia County,469.1,Overall,Overall,31.133221,-87.162551,20
GA,Dade County,469.0,Overall,Overall,34.853552,-85.502602,20
TN,Marshall County,468.6,Overall,Overall,35.479822,-86.75852,20
MI,Roscommon County,468.6,Overall,Overall,44.339354,-84.614985,20
OK,Nowata County,468.5,Overall,Overall,36.801517,-95.619787,20
TX,Cherokee County,468.4,Overall,Overall,31.84112,-95.168269,20
AR,Nevada County,468.4,Overall,Overall,33.669377,-93.299265,18
KY,Muhlenberg County,468.1,Overall,Overall,37.219818,-87.147148,20
KY,Bracken County,468.0,Overall,Overall,38.684969,-84.097494,20
TX,Potter County,467.9,Overall,Overall,35.405302,-101.891389,20
VA,Buchanan County,467.7,Overall,Overall,37.266051,-82.030674,17
KY,Lyon County,467.7,Overall,Overall,37.023375,-88.092566,20
AL,Morgan County,467.5,Overall,Overall,34.45678,-86.853086,20
GA,Muscogee County,467.2,Overall,Overall,32.507301,-84.869531,20
OK,Washita County,467.1,Overall,Overall,35.291494,-98.985874,20
MS,Jefferson Davis County,467.1,Overall,Overall,31.573983,-89.820622,20
AL,Butler County,467.0,Overall,Overall,31.756743,-86.685543,20
LA,Webster Parish,467.0,Overall,Overall,32.716505,-93.329005,20
MO,Reynolds County,466.9,Overall,Overall,37.362209,-90.976708,7
KY,Johnson County,466.9,Overall,Overall,37.847982,-82.834814,20
VA,Wise County,466.7,Overall,Overall,36.975006,-82.616773,20
GA,Bacon County,466.7,Overall,Overall,31.554367,-82.451623,20
IL,Vermilion County,466.6,Overall,Overall,40.18694,-87.737581,20
GA,Peach County,466.1,Overall,Overall,32.560174,-83.823099,20
TX,Stonewall County,465.2,Overall,Overall,33.175961,-100.255465,7
KY,Caldwell County,465.1,Overall,Overall,37.150583,-87.875113,20
KY,Harrison County,465.0,Overall,Overall,38.440395,-84.341156,20
KY,Boyd County,465.0,Overall,Overall,38.363795,-82.686808,20
OH,Harrison County,464.8,Overall,Overall,40.288123,-81.085459,20
KS,Barber County,464.8,Overall,Overall,37.225726,-98.683478,9
AL,Talladega County,464.0,Overall,Overall,33.38655,-86.165729,20
KY,Green County,463.9,Overall,Overall,37.264979,-85.562023,20
AR,Clark County,463.9,Overall,Overall,34.05728,-93.171883,20
TN,Clay County,463.9,Overall,Overall,36.554139,-85.544529,19
OK,Pawnee County,463.6,Overall,Overall,36.320446,-96.6966,20
TX,Crane County,463.4,Overall,Overall,31.43088,-102.511613,2
AL,Fayette County,463.4,Overall,Overall,33.726047,-87.737656,18
AL,Pickens County,463.2,Overall,Overall,33.285701,-88.089005,20
KY,Metcalfe County,463.2,Overall,Overall,36.993635,-85.63896,20
TN,Marion County,462.5,Overall,Overall,35.135895,-85.622641,20
MI,Sanilac County,462.3,Overall,Overall,43.428911,-82.82188,16
VA,Norton City,462.1,Overall,Overall,36.940889,-82.607272,20
MS,Amite County,462.0,Overall,Overall,31.179909,-90.802741,20
KS,Cherokee County,461.9,Overall,Overall,37.165968,-94.846208,20
AR,Lawrence County,461.2,Overall,Overall,36.04488,-91.10962,17
