,County,State,Hospital Count
850,Edmonson County,KY,20
851,Edmunds County,SD,10
852,Edwards County,IL,5
853,Edwards County,KS,1
854,Edwards County,TX,11
855,Effingham County,GA,11
856,Effingham County,IL,3
857,El Dorado County,CA,20
858,El Paso County,CO,20
859,El Paso County,TX,20
860,Elbert County,CO,20
861,Elbert County,GA,1
862,Elk County,KS,1
863,Elk County,PA,13
864,Elkhart County,IN,3
865,Elko County,NV,1
866,Elliott County,KY,12
867,Ellis County,KS,5
868,Ellis County,OK,1
869,Ellis County,TX,20
870,Ellsworth County,KS,1
871,Elmore County,ID,1
872,Emanuel County,GA,2
873,Emery County,UT,1
874,Emmet County,IA,1
875,Emmet County,MI,12
876,Emmons County,ND,3
877,Emporia City,VA,4
878,Erath County,TX,1
879,Erie County,NY,20
880,Erie County,OH,20
881,Erie County,PA,20
882,Escambia County,AL,7
883,Escambia County,FL,20
884,Esmeralda County,NV,3
885,Essex County,MA,20
886,Essex County,NJ,9
887,Essex County,NY,19
888,Essex County,VA,1
889,Essex County,VT,19
890,Estill County,KY,1
891,Etowah County,AL,20
892,Eureka County,NV,6
893,Evangeline Parish,LA,9
894,Evans County,GA,1
895,Fairbanks North Star,AK,12
896,Fairfax City,VA,20
897,Fairfax County,VA,20
898,Fairfield County,CT,20
899,Fairfield County,OH,3
900,Fairfield County,SC,1
901,Fajardo Municipio,PR,19
902,Fall River County,SD,5
903,Fallon County,MT,1
904,Falls Church City,VA,20
905,Falls County,TX,3
906,Fannin County,GA,1
907,Fannin County,TX,1
908,Faribault County,MN,4
909,Faulk County,SD,2
910,Faulkner County,AR,20
911,Fayette County,AL,1
912,Fayette County,GA,1
913,Fayette County,IA,7
914,Fayette County,IL,1
915,Fayette County,IN,6
916,Fayette County,KY,20
917,Fayette County,OH,1
918,Fayette County,PA,20
919,Fayette County,TN,17
920,Fayette County,TX,5
921,Fayette County,WV,11
922,Fentress County,TN,2
923,Fergus County,MT,1
924,Ferry County,WA,1
925,Fillmore County,MN,20
926,Fillmore County,NE,1
927,Finney County,KS,1
928,Fisher County,TX,1
929,Flagler County,FL,1
930,Flathead County,MT,15
931,Fleming County,KY,1
932,Florence County,SC,20
933,Florence County,WI,6
934,Florida,FL,20
935,Florida Municipio,PR,20
936,Floyd County,GA,1
937,Floyd County,IA,1
938,Floyd County,IN,2
939,Floyd County,KY,18
940,Floyd County,TX,2
941,Floyd County,VA,1
942,Fluvanna County,VA,20
943,Fond du Lac County,WI,11
944,Ford County,IL,10
945,Ford County,KS,5
946,Forest County,PA,11
947,Forest County,WI,1
948,Forrest County,MS,4
949,Forsyth County,GA,3
950,Forsyth County,NC,20
